,댓글,악플여부,출처
28506,13,,./data\이슈 콕.csv
39030,2베,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
43554,퀴2,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
28407,딱7,,./data\이슈 콕.csv
28404,16,,./data\이슈 콕.csv
28830,2번,,./data\이슈 콕.csv
39235,2ㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31845,1ㅣ,,./data\인사이트.csv
28463,22,,./data\이슈 콕.csv
28021,34,,./data\이상민.csv
28507,6개,,./data\이슈 콕.csv
28467,10,,./data\이슈 콕.csv
32824,ㄷ ㄷ,,./data\인사이트_biz.csv
28335,ㄷ ㄷ,,./data\이슈 콕.csv
38509,찐 ㅠ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31623,ㅠ3ㅠ,,./data\인사이트.csv
31065,오 쒯,,./data\인사이트.csv
31064,272,,./data\인사이트.csv
31318,ㄷ ㄷ,,./data\인사이트.csv
33647,1위다,,./data\인사이트_ent.csv
29136,둘 다,,./data\인사이트.csv
28420,11개,,./data\이슈 콕.csv
30312,헐 ㅠ,,./data\인사이트.csv
31444,272,,./data\인사이트.csv
31031,오 쉩,,./data\인사이트.csv
31028,272,,./data\인사이트.csv
31026,272,,./data\인사이트.csv
32575,헐 ㅠ,,./data\인사이트.csv
29906,ㄷ ㄷ,,./data\인사이트.csv
31414,272,,./data\인사이트.csv
31240,272,,./data\인사이트.csv
32797,ㄷ ㄷ,,./data\인사이트_biz.csv
28484,24개,,./data\이슈 콕.csv
34824,2ㅂ줌,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31241,272,,./data\인사이트.csv
28348,ㄷ ㄷ,,./data\이슈 콕.csv
31455,272,,./data\인사이트.csv
29453,형 ㅠ,,./data\인사이트.csv
32833,11ㄱ,,./data\인사이트_biz.csv
31193,헐 ㅠ,,./data\인사이트.csv
31190,272,,./data\인사이트.csv
28902,19일,,./data\이슈이슈.csv
28492,22개,,./data\이슈 콕.csv
31149,272,,./data\인사이트.csv
31285,휴 ㅜ,,./data\인사이트.csv
31143,와 씨,,./data\인사이트.csv
31260,272,,./data\인사이트.csv
31244,272,,./data\인사이트.csv
28734,님 헐,,./data\이슈 콕.csv
28383,족발2,,./data\이슈 콕.csv
32500,ㅋ ㅋ,,./data\인사이트.csv
31158,272,,./data\인사이트.csv
31423,272,,./data\인사이트.csv
34989,003,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
28299,ㄷ ㄷ,,./data\이슈 콕.csv
32982,ㄷ ㄷ,,./data\인사이트_biz.csv
32257,ㄷ ㄷ,,./data\인사이트.csv
28519,18개,,./data\이슈 콕.csv
29460,또 한남,,./data\인사이트.csv
28697,그냥 줌,,./data\이슈 콕.csv
33686,5번어때,,./data\인사이트_ent.csv
32184,너도 해,,./data\인사이트.csv
32746,11살까,,./data\인사이트_biz.csv
39483,닥 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31572,헐 봤니,,./data\인사이트.csv
40967,와 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
39521,응 2베,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
28822,다 웃겨,,./data\이슈 콕.csv
29671,아 ㅜㅠ,,./data\인사이트.csv
28474,딱 7개,,./data\이슈 콕.csv
31603,야 ㅁㅊ,,./data\인사이트.csv
30771,돈을 바,,./data\인사이트.csv
29886,엥 뭔일,,./data\인사이트.csv
31379,야 미친,,./data\인사이트.csv
31139,잉 오빠,,./data\인사이트.csv
41739,오 ㅋㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31712,엥 ㅁ친,,./data\인사이트.csv
31615,ㅈ 됬네,,./data\인사이트.csv
31136,안 탔지,,./data\인사이트.csv
28211,앗 ㅜㅋ,,./data\이상민.csv
35810,응 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31362,아 나도,,./data\인사이트.csv
30145,아 ㅋㅋ,,./data\인사이트.csv
31642,헐 ㅠㅠ,,./data\인사이트.csv
36516,그게 왜,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31941,응 안사,,./data\인사이트.csv
35475,즐 ㅗㅗ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31488,놀랄 노,,./data\인사이트.csv
31716,헐 ㅠㅠ,,./data\인사이트.csv
31671,헐 ㅠㅠ,,./data\인사이트.csv
29162,헐 ㅠㅠ,,./data\인사이트.csv
30430,ㅈㄹ 똥,,./data\인사이트.csv
31976,응 안사,,./data\인사이트.csv
33613,왜 그가,,./data\인사이트_ent.csv
34335,해도 뭐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
30272,겹다 ㅜ,,./data\인사이트.csv
31970,이런 난,,./data\인사이트.csv
32463,너 오빠,,./data\인사이트.csv
32200,27만원,,./data\인사이트.csv
42005,74년생,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31252,헐 ㅜㅜ,,./data\인사이트.csv
29975,엥 대박,,./data\인사이트.csv
33360,오 보셈,,./data\인사이트_ent.csv
34299,하 진짜,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
33002,위례 래,,./data\인사이트_biz.csv
38971,돌림 용,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
40442,머 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
31711,와씨 ㅠ,,./data\인사이트.csv
31611,헐 어케,,./data\인사이트.csv
31531,헐 미친,,./data\인사이트.csv
30441,ㅈㄹ ㄴ,,./data\인사이트.csv
35607,링크 줘,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
28942,나 뭐야,,./data\이슈이슈.csv
39330,뷰웅 신,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
28459,21개여,,./data\이슈 콕.csv
31661,헐 소름,,./data\인사이트.csv
29178,아 시발,,./data\인사이트.csv
29799,이런 ㅆ,,./data\인사이트.csv
28784,니 알람,,./data\이슈 콕.csv
