,댓글,악플여부,출처
68841,0,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66692,10,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61731,2배,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65070,22,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61124,와 씨,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64716,ㅇㅂ2,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67195,닭 승,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60984,100,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75651,난 붐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65372,Mc6,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70145,오 ㅏ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68362,174,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75446,3 4,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62582,을 씀,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61528,힘 내,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68773,와 ㅅㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62627,보지 좆,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74044,응 가능,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64882,앗 미안,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
63805,응 없어,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69314,허 시바,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67179,하 인생,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
63696,제 ㅈㅎ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64732,닉 보소,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62572,하 검스,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71542,그 성별,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72861,k 박살,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69676,퀄 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66195,18시발,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62984,즐라 도,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74111,응 패전,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72224,3천만원,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60921,양 아들,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
63146,집 팔어,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73038,ㅇㅂ 줌,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71295,ㅆ ㄱㄴ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73794,뭘 낳아,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74447,녀 맞냐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69899,응 너두,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73671,즐 ㅗㅗ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62437,ㄹㅇ ㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70002,너는 참,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64188,너도 ㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68884,아 싸발,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74309,가카 ㅠ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72368,1000,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70195,틀 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65875,응 탈모,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70495,너 신고,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66408,뭔 소리,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69968,그저 빛,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71221,오b 반사,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64535,꺼져 ㅗㅗ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64523,ㅇㅇ 나도,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61246,어느 경험,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64117,썰 ㄱㄱㄱ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72949,왜 무서움,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69948,빛 사 나,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74979,빨리 이름,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60801,저걸 믿냐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67795,22222,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61813,ㄹㅇ ㅋㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71684,ㅇㅂ 팩트,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72753,ㅂㅅ아 좀,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69513,ㅇㅂ ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64293,품번 노모,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69562,ㅅㅂ 섰다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64283,품번 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69549,품번 ㅃㄹ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74078,아 지린다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67952,왜 시비냐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70157,좋다 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69576,품번 씨발,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68114,품번 ㅅㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64330,섹스 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60510,응 17년,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68230,레카 ㅠㅠ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69774,응 동남아,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64205,와 이새끼,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66759,리얼 최악,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64175,힘내 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67695,위인 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70109,효자 2배,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70950,사기 등등,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65087,각하 ㅠㅠ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74401,이거 짭임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71056,빠루 18,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74399,머래 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74398,꺼져 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65112,앤두 섹스,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71530,전 라 도,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74225,왜 맞자나,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65144,엔두 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65065,누가 그래,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65199,오뎅을 걍,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74236,인싸 가카,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67161,마 좋네예,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73331,반중 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69748,닥 쳐 줘,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74360,멋짐 인정,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70026,형 멋있노,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71472,뭔 소리임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60740,이재용 갓,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61365,딸 이쁘냐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69749,원 녀석도,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67680,ㅇㅇ 꺼져,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67291,삼성 공주,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69765,착하네 끝,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67672,난 거지임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69952,인성 좋네,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73092,그게 뭐임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65502,인재 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70116,1박해야지,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
71570,전구는 왜,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74841,ㅋㅋ 나도,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69664,핏봐 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66889,머가 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64915,사실 그래,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70167,그저 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70497,시러 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
74626,그러네 ㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70097,효자 2ㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64750,제료 ㅈㅎ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70073,아재 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61312,판단 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69679,ㅎㅁ ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
67022,헤헤 주먹,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
65428,아 삼성차,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70105,고대 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
64107,재혼 ㄱㄱ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60428,ㄹㅇ ㅇㅇ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66639,이씨 조선,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66457,꺼져 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
61500,신은 없다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70434,아님 말고,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70587,하 ㅋㅋㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69819,허참 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62713,그져 빤다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62727,일단 보내,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66220,ㅋㅋ ㄹㅇ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66211,70디니임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73787,다 아는거,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75555,6번 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60286,넌 좌파니,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70611,막짤 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
66199,시발 ㅋㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62991,네 다좆족,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73871,나 씻겨죠,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68361,키 몇이냐,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72098,리볼트 잼,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62057,노예 근성,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62050,무슨 보험,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72111,3천 불러,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75652,40이라고,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70438,흥 컨셉임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
72005,역시 갓본,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62530,검스 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70494,꺼져 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75802,결혼 전임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
69112,막줄 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
73724,정보 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60326,오 홍땅끄,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68943,ㅇㅇ 당연,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62168,얼마 안가,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60991,쇼의 대가,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
60592,재제 병싄,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75719,예상 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
68544,야 김계란,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
62412,검스 쩐다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75699,저거 아님,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
70558,개콘 특집,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75694,너 정씨지,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
