,댓글,악플여부,출처
22298,2,,./data\여행에 미치다.csv
15014,9,,./data\문재인.csv
20547,5,,./data\여행에 미치다.csv
20704,7,,./data\여행에 미치다.csv
20690,3,,./data\여행에 미치다.csv
23525,1,,./data\여행에 미치다.csv
23040,5,,./data\여행에 미치다.csv
23583,4번,,./data\여행에 미치다.csv
19052,30,,./data\에브리타임_댓글_1113.csv
24994,17,,./data\여행에 미치다.csv
22306,멤5,,./data\여행에 미치다.csv
25143,9ㄷ,,./data\여행에 미치다.csv
18973,2등,,./data\스윙스.csv
20141,5k,,./data\에브리타임_댓글_1113.csv
22497,3번,,./data\여행에 미치다.csv
19697,2월,,./data\에브리타임_댓글_1113.csv
23156,6번,,./data\여행에 미치다.csv
23632,14,,./data\여행에 미치다.csv
20887,ㄷ ㄱ,,./data\여행에 미치다.csv
23209,2제주,,./data\여행에 미치다.csv
27480,꺙 ㅠ,,./data\유머 짤.csv
27031,ㄷ ㄷ,,./data\유머 짤.csv
21635,개 간,,./data\여행에 미치다.csv
23448,엌 ㅠ,,./data\여행에 미치다.csv
27248,ㄷ ㄷ,,./data\유머 짤.csv
23239,에 ㅎ,,./data\여행에 미치다.csv
23004,흡 ㅠ,,./data\여행에 미치다.csv
23927,꼭 꼭,,./data\여행에 미치다.csv
22356,10번,,./data\여행에 미치다.csv
24669,흑 ㅠ,,./data\여행에 미치다.csv
23925,3번째,,./data\여행에 미치다.csv
19909,남 여,,./data\에브리타임_댓글_1113.csv
27314,ㅇ0ㅇ,,./data\유머 짤.csv
27764,와 씨,,./data\유머 짤.csv
20258,350,,./data\에브리타임_댓글_1113.csv
23951,2월달,,./data\여행에 미치다.csv
19266,10억,,./data\에브리타임_댓글_1113.csv
27683,와 ㅠ,,./data\유머 짤.csv
22211,후보1,,./data\여행에 미치다.csv
27331,난 얘,,./data\유머 짤.csv
25717,ㅋ ㅋ,,./data\여행에 미치다.csv
22292,ㅣ66,,./data\여행에 미치다.csv
16947,ㅠ ㅠ,,./data\박성광.csv
19179,7세대,,./data\에브리타임_댓글_1113.csv
20858,꼴 값,,./data\여행에 미치다.csv
21601,아 놔,,./data\여행에 미치다.csv
23591,510,,./data\여행에 미치다.csv
25220,저 장,,./data\여행에 미치다.csv
15512,ㅇ ㅇ,,./data\문재인.csv
21866,ㅠ ㅠ,,./data\여행에 미치다.csv
22486,다 저장,,./data\여행에 미치다.csv
19080,과 ㅇㄷ,,./data\에브리타임_댓글_1113.csv
27206,난 이분,,./data\유머 짤.csv
26987,와 소름,,./data\유머 짤.csv
27768,와 시발,,./data\유머 짤.csv
25314,홀 가자,,./data\여행에 미치다.csv
25486,홀 합턴,,./data\여행에 미치다.csv
22485,ㅠ 가자,,./data\여행에 미치다.csv
19056,20키로,,./data\에브리타임_댓글_1113.csv
20984,으 드러,,./data\여행에 미치다.csv
19443,찐 ㅅㄱ,,./data\에브리타임_댓글_1113.csv
22507,나눙3번,,./data\여행에 미치다.csv
24552,다 할래,,./data\여행에 미치다.csv
19470,미안 ㅠ,,./data\에브리타임_댓글_1113.csv
18624,그건 쫌,,./data\스윙스.csv
19602,18만원,,./data\에브리타임_댓글_1113.csv
23149,5번 ㅍ,,./data\여행에 미치다.csv
25258,나 미쳐,,./data\여행에 미치다.csv
22656,1년됐다,,./data\여행에 미치다.csv
19565,풉 ㅋㅋ,,./data\에브리타임_댓글_1113.csv
24285,헐 쩐다,,./data\여행에 미치다.csv
24283,저 여기,,./data\여행에 미치다.csv
25021,뉴욕 ㄱ,,./data\여행에 미치다.csv
24519,또 가곱,,./data\여행에 미치다.csv
22628,아 발리,,./data\여행에 미치다.csv
27261,와 설레,,./data\유머 짤.csv
22627,발리 기,,./data\여행에 미치다.csv
25586,여기 ㄱ,,./data\여행에 미치다.csv
24099,나 여기,,./data\여행에 미치다.csv
27800,시발 하,,./data\유머 짤.csv
20223,와 ㅁㅊ,,./data\에브리타임_댓글_1113.csv
19531,내과 ㄱ,,./data\에브리타임_댓글_1113.csv
24267,여기 ㄱ,,./data\여행에 미치다.csv
21907,내 심장,,./data\여행에 미치다.csv
23542,ㅂㅈ늗7,,./data\여행에 미치다.csv
19476,인정 ㅠ,,./data\에브리타임_댓글_1113.csv
24961,ㅠ 으앙,,./data\여행에 미치다.csv
20356,나 남자,,./data\에브리타임_댓글_1113.csv
25329,헝 ㅠㅠ,,./data\여행에 미치다.csv
24860,1년 뒤,,./data\여행에 미치다.csv
21978,나의 꿈,,./data\여행에 미치다.csv
27149,마치 나,,./data\유머 짤.csv
24816,꼭 가쟈,,./data\여행에 미치다.csv
19285,아 ㅋㅋ,,./data\에브리타임_댓글_1113.csv
24701,나 갈래,,./data\여행에 미치다.csv
19278,아 관계,,./data\에브리타임_댓글_1113.csv
25635,터키 고,,./data\여행에 미치다.csv
22180,언제 가,,./data\여행에 미치다.csv
26275,내 심장,,./data\유머 짤.csv
24717,내 미국,,./data\여행에 미치다.csv
26276,저 죽음,,./data\유머 짤.csv
23587,10번찜,,./data\여행에 미치다.csv
19302,좀 작지,,./data\에브리타임_댓글_1113.csv
26342,잉 힐링,,./data\유머 짤.csv
24734,2024,,./data\여행에 미치다.csv
22202,후보 1,,./data\여행에 미치다.csv
27130,노래 와,,./data\유머 짤.csv
23566,짱 ㅠㅠ,,./data\여행에 미치다.csv
24775,나 운다,,./data\여행에 미치다.csv
24746,꼭 다시,,./data\여행에 미치다.csv
24766,엉엉 ㅜ,,./data\여행에 미치다.csv
19219,12에게,,./data\에브리타임_댓글_1113.csv
24750,와 뉴욕,,./data\여행에 미치다.csv
26305,졸귀 ㅠ,,./data\유머 짤.csv
19237,전 2번,,./data\에브리타임_댓글_1113.csv
24731,인 뉴욕,,./data\여행에 미치다.csv
15873,4ㅡ6ㄷ,,./data\문재인.csv
25443,2박3일,,./data\여행에 미치다.csv
25748,오 락킹,,./data\여행에 미치다.csv
22468,태안 ㄱ,,./data\여행에 미치다.csv
22462,솔 태안,,./data\여행에 미치다.csv
23342,꼭 다시,,./data\여행에 미치다.csv
20448,마음 속,,./data\에브리타임_댓글_1113.csv
23693,돈내코9,,./data\여행에 미치다.csv
24614,나 갈래,,./data\여행에 미치다.csv
25612,ㅎ ㅓ미,,./data\여행에 미치다.csv
20506,6아닌가,,./data\에브리타임_댓글_1113.csv
20898,ㄷㄷ 헐,,./data\여행에 미치다.csv
23388,와 동환,,./data\여행에 미치다.csv
23664,5번저장,,./data\여행에 미치다.csv
20525,오 ㅋㅋ,,./data\여행에 미치다.csv
15313,내 사랑,,./data\문재인.csv
24852,내 뉴욕,,./data\여행에 미치다.csv
24851,하 뉴욕,,./data\여행에 미치다.csv
25361,와 대박,,./data\여행에 미치다.csv
22082,야 가자,,./data\여행에 미치다.csv
24842,내년 고,,./data\여행에 미치다.csv
22362,다 가자,,./data\여행에 미치다.csv
23639,다 가쟈,,./data\여행에 미치다.csv
26396,내 심장,,./data\유머 짤.csv
19317,아 학점,,./data\에브리타임_댓글_1113.csv
22354,짱 예뻐,,./data\여행에 미치다.csv
24831,뉴욕 고,,./data\여행에 미치다.csv
27161,오 시바,,./data\유머 짤.csv
20966,언팔 ㄱ,,./data\여행에 미치다.csv
26072,오 뀰팁,,./data\위키블루.csv
23540,아 계곡,,./data\여행에 미치다.csv
27346,스윗 ㅎ,,./data\유머 짤.csv
22962,하 가좌,,./data\여행에 미치다.csv
27304,헉 멋져,,./data\유머 짤.csv
22884,힝 ㅠㅜ,,./data\여행에 미치다.csv
18703,빵 터짐,,./data\스윙스.csv
24333,채은 가,,./data\여행에 미치다.csv
24470,하 씨발,,./data\여행에 미치다.csv
26625,꿀 같앙,,./data\유머 짤.csv
25857,오 포항,,./data\여행에 미치다.csv
26053,이건 좀,,./data\위키블루.csv
23921,와 발리,,./data\여행에 미치다.csv
18771,ㅎㅎ 아,,./data\스윙스.csv
25570,여기 ㄱ,,./data\여행에 미치다.csv
24341,1029,,./data\여행에 미치다.csv
25200,넘 예뿌,,./data\여행에 미치다.csv
25080,넘 이뻥,,./data\여행에 미치다.csv
19846,내 꿈을,,./data\에브리타임_댓글_1113.csv
18677,너 머리,,./data\스윙스.csv
27461,헉 스윗,,./data\유머 짤.csv
19852,왜 불러,,./data\에브리타임_댓글_1113.csv
24441,나랑 꼭,,./data\여행에 미치다.csv
22786,꼭 가쟈,,./data\여행에 미치다.csv
25536,오 오져,,./data\여행에 미치다.csv
23069,다 가자,,./data\여행에 미치다.csv
19972,나도 ㅎ,,./data\에브리타임_댓글_1113.csv
26838,볼 ㅋㅋ,,./data\유머 짤.csv
26744,인류애2,,./data\유머 짤.csv
24320,나 여기,,./data\여행에 미치다.csv
27328,감뎡 ㅠ,,./data\유머 짤.csv
21721,아 뭉클,,./data\여행에 미치다.csv
22956,6번체고,,./data\여행에 미치다.csv
18935,나도 형,,./data\스윙스.csv
21480,헐 우왕,,./data\여행에 미치다.csv
27454,와 ㅅ발,,./data\유머 짤.csv
18814,네 오빠,,./data\스윙스.csv
23055,제주 ㅠ,,./data\여행에 미치다.csv
19694,9732,,./data\에브리타임_댓글_1113.csv
27499,니 같아,,./data\유머 짤.csv
18717,넷 형님,,./data\스윙스.csv
22948,힝 ㅠㅠ,,./data\여행에 미치다.csv
20075,땡큐 ㅎ,,./data\에브리타임_댓글_1113.csv
22818,꼭 가자,,./data\여행에 미치다.csv
19756,리사 쑤,,./data\에브리타임_댓글_1113.csv
