,댓글,악플여부,출처
46342,2베,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
48265,45,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
48883,2ㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
50293,22,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57017,중2,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
44970,2베,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
55858,네다0,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
45489,999,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
59198,3만원,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
45624,3프로,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
44661,20대,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
45526,몇 동,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58182,응 아,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58181,응 박,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58180,응 정,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58173,응 박,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58172,응 정,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
51917,12억,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58174,응 아,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
50294,333,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
56190,1번임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58175,응 새,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
52867,익명 1,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
56270,말 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
53480,ㅄ 운진,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
49586,X 맨임,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57269,7번째다,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
53516,익명 ㅉ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54132,으엌 ㅋ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
52511,음 그래,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
44129,어 그래,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
55641,익명 딲,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
49209,정성 추,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
52494,오 ㄴㄴ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
46939,머 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
46510,네다 짱,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58725,좀 아네,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
48275,뭔 진실,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
56102,ㅇㅂ 줌,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
49604,응 중고,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
53461,꼴 좋노,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
47491,짤 ㅇㅂ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
51609,힐티 굳,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
53316,펌 ㅈㅎ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
46787,개 돼지,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
52835,에 주화,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
50252,머 ㅡㅡ,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
50250,왜 블라,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
